Block	MerSort	QuickSort	Swaps
681	0.010122	0.007707	227748536
682	0.010118	0.007714	228410447
683	0.010158	0.007759	229072443
684	0.010140	0.007720	229750088
685	0.010335	0.007994	230427185
686	0.010224	0.008022	231198535
687	0.010222	0.008020	231899084
688	0.010444	0.008370	232661683
689	0.010418	0.008134	233397406
690	0.010475	0.008059	234145749
691	0.010483	0.008260	234943110
692	0.010504	0.008054	235629347
693	0.010525	0.007906	236291582
694	0.010366	0.007949	236963894
695	0.010386	0.007850	237648973
696	0.010398	0.008203	238480534
697	0.010423	0.007818	239116051
698	0.010418	0.007992	239840337
699	0.010432	0.008092	240551496
700	0.010430	0.008172	241380164
701	0.010470	0.008068	242117347
702	0.010479	0.007945	242805356
703	0.010500	0.008043	243465490
704	0.010528	0.008194	244214490
705	0.010571	0.008124	244982763
706	0.010670	0.008084	245718548
707	0.010618	0.008368	246471173
708	0.010583	0.008207	247227098
709	0.010649	0.008256	247963037
710	0.010688	0.008243	248710331
711	0.010650	0.008316	249454026
712	0.010650	0.008246	250207538
713	0.010629	0.008112	250902735
714	0.010671	0.008228	251619078
715	0.010700	0.008161	252346673
716	0.010730	0.008168	253069763
717	0.010719	0.008247	253775444
718	0.010742	0.008333	254551980
719	0.010817	0.008292	255290425
720	0.010827	0.008283	256036143
721	0.010772	0.008461	256796478
722	0.010859	0.008360	257558727
723	0.010838	0.008307	258289387
724	0.010835	0.008456	259024132
725	0.010881	0.008331	259764621
726	0.010872	0.008424	260489244
727	0.010882	0.008193	261206737
728	0.010889	0.008363	261902837
729	0.010908	0.008211	262608858
730	0.010919	0.008465	263351837
731	0.011001	0.008462	264090205
732	0.010948	0.008374	264852899
733	0.010985	0.008389	265610460
734	0.010966	0.008432	266372676
735	0.010995	0.008514	267154763
736	0.010956	0.008543	267945906
737	0.010996	0.008564	268682616
738	0.011011	0.008538	269407326
739	0.011017	0.008355	270117570
740	0.011043	0.008420	270872013
741	0.011057	0.008571	271684363
742	0.011097	0.008523	272473925
743	0.011100	0.008413	273196212
744	0.011092	0.008449	273916954
745	0.011173	0.008556	274668316
746	0.011143	0.008698	275465549
747	0.011216	0.008921	276303447
748	0.011203	0.008686	277076619
749	0.011193	0.008553	277834838
750	0.011215	0.008683	278570340
751	0.011285	0.008984	279387938
752	0.011418	0.008782	280147339
753	0.011326	0.008864	280921230
754	0.011276	0.008666	281714407
755	0.011300	0.008700	282492492
756	0.011319	0.008925	283353126
757	0.011326	0.008666	284130667
758	0.011335	0.008795	284911870
759	0.011325	0.008818	285734837
760	0.011418	0.008989	286585835
761	0.011460	0.008858	287422108
762	0.011429	0.008801	288193234
763	0.011456	0.008773	289004857
764	0.011474	0.008843	289833294
765	0.011467	0.008656	290634297
766	0.011528	0.008889	291388465
767	0.011525	0.008792	292207754
768	0.011544	0.008860	293041793
769	0.011624	0.008933	293799467
770	0.011545	0.008928	294570650
771	0.011694	0.008962	295393749
772	0.011718	0.008977	296199685
773	0.011641	0.009059	297036400
774	0.011626	0.008878	297796709
775	0.011636	0.008953	298630964
776	0.011725	0.009044	299431129
777	0.011798	0.009047	300200628
778	0.011764	0.008982	300986911
779	0.011690	0.009035	301787803
780	0.011714	0.009051	302617285
781	0.011726	0.008984	303392871
782	0.011752	0.009162	304235828
783	0.011745	0.009022	305058422
784	0.011769	0.008982	305877121
785	0.011837	0.009047	306690216
786	0.011826	0.009087	307478291
787	0.011816	0.009099	308313612
788	0.011831	0.008987	309075626
789	0.011870	0.009154	309888590
790	0.011847	0.009059	310667025
791	0.012126	0.009298	311486882
792	0.012047	0.009271	312275501
793	0.012271	0.009476	313150228
794	0.012170	0.009308	313973805
795	0.012166	0.009725	314825318
796	0.012182	0.009453	315673926
797	0.012196	0.009488	316572730
798	0.012199	0.009466	317408239
799	0.012226	0.009554	318308039
800	0.012059	0.009529	319220184
801	0.012038	0.009395	320068842
802	0.012096	0.009562	320820257
803	0.012061	0.009331	321690366
804	0.012123	0.009333	322556499
805	0.012088	0.009337	323397138
806	0.012137	0.009232	324187265
807	0.012086	0.009464	325022486
808	0.012143	0.009266	325808960
809	0.012102	0.009579	326696017
810	0.012181	0.009371	327540032
811	0.012182	0.009655	328433643
812	0.012192	0.009578	329306172
813	0.012228	0.009725	330190001
814	0.012212	0.009480	330998083
815	0.012222	0.009598	331795998
816	0.012227	0.009519	332667024
817	0.012299	0.009724	333513507
818	0.012265	0.009533	334402689
819	0.012214	0.009739	335381169
820	0.012239	0.009755	336273238
821	0.012264	0.009675	337165331
822	0.012289	0.009789	338062593
823	0.012322	0.009437	338868026
824	0.012352	0.009679	339779522
825	0.012410	0.009681	340639486
826	0.012353	0.009602	341532107
827	0.012378	0.009650	342368551
828	0.012429	0.009627	343209452
829	0.012472	0.009565	344052418
830	0.012519	0.009903	344913071
831	0.012444	0.009575	345757606
832	0.012473	0.009828	346632719
833	0.012609	0.009892	347530997
834	0.012828	0.009842	348370514
835	0.012809	0.010021	349275994
