Block	MerSort	QuickSort	Swaps
709	0.010632	0.007958	237756827
710	0.010638	0.008269	238471249
711	0.010683	0.008107	239151217
712	0.010626	0.008086	239895315
713	0.010677	0.008183	240584775
714	0.010707	0.008110	241273038
715	0.010694	0.008079	241989529
716	0.010739	0.008209	242721432
717	0.010786	0.008275	243429642
718	0.010707	0.008163	244109060
719	0.010749	0.008244	244833838
720	0.010728	0.008225	245526761
721	0.010840	0.008189	246199663
722	0.010841	0.008238	246901576
723	0.010889	0.008168	247607983
724	0.010828	0.008300	248332421
725	0.010925	0.008425	249015191
726	0.010953	0.008196	249665114
727	0.010862	0.008268	250387526
728	0.010851	0.008307	251103959
729	0.010865	0.008303	251795279
730	0.010923	0.008296	252487277
731	0.010888	0.008328	253278947
732	0.010893	0.008422	253999260
733	0.010947	0.008375	254736164
734	0.011004	0.008337	255494221
735	0.010959	0.008250	256172311
736	0.011149	0.008282	256901171
737	0.010977	0.008536	257716601
738	0.010983	0.008391	258425214
739	0.011013	0.008425	259163725
740	0.011016	0.008531	259948683
741	0.011052	0.008352	260670416
742	0.011091	0.008407	261354837
743	0.011065	0.008486	262055383
744	0.011089	0.008936	263007957
745	0.011082	0.008754	263859183
746	0.011128	0.008457	264579441
747	0.011162	0.008637	265346790
748	0.011377	0.008609	266075197
749	0.011246	0.008515	266804273
750	0.011278	0.008529	267533843
751	0.011251	0.008620	268286497
752	0.011279	0.008789	269027160
753	0.011601	0.008851	269761707
754	0.011554	0.008829	270467272
755	0.011522	0.008760	271249683
756	0.011535	0.008798	272061517
757	0.011497	0.008717	272847973
758	0.011352	0.008723	273584199
759	0.011409	0.008683	274356254
760	0.011337	0.008672	275119650
761	0.011419	0.008580	275829784
762	0.011464	0.008902	276643596
763	0.011442	0.008814	277397807
764	0.011477	0.009011	278238107
765	0.011473	0.008695	278974317
766	0.011487	0.008808	279712415
767	0.011550	0.008920	280517109
768	0.011596	0.008848	281309023
769	0.011595	0.008922	282125120
770	0.011540	0.008906	282952699
771	0.011523	0.008973	283786395
772	0.011630	0.008788	284575750
773	0.011636	0.008973	285371106
774	0.011691	0.008823	286141200
775	0.011617	0.008927	286902544
776	0.011626	0.009063	287715125
777	0.011710	0.008964	288482465
778	0.011639	0.008818	289200120
779	0.011662	0.009160	290045732
780	0.011699	0.009017	290806916
781	0.011744	0.008890	291526507
782	0.011764	0.009028	292281098
783	0.011779	0.008926	293044224
784	0.011784	0.009251	293924995
785	0.012028	0.009169	294749841
786	0.012050	0.009125	295471202
787	0.011961	0.009224	296277144
788	0.011924	0.009228	297048072
789	0.012134	0.009281	297778554
790	0.012157	0.009385	298611331
791	0.012135	0.009633	299447888
792	0.012513	0.009444	300254314
793	0.012208	0.009633	301145120
794	0.012246	0.009531	301949030
795	0.012320	0.009433	302704455
796	0.012295	0.009563	303494664
797	0.012337	0.009301	304241417
798	0.012340	0.010083	305044249
799	0.012487	0.009598	305813721
800	0.012404	0.009471	306624435
801	0.012292	0.009815	307535748
802	0.012364	0.009692	308436443
803	0.012362	0.009340	309253817
804	0.012295	0.009442	310015791
805	0.012315	0.009525	310829172
806	0.012322	0.009475	311637625
807	0.012314	0.009315	312451018
808	0.012101	0.009256	313237700
809	0.012124	0.009298	314068262
810	0.012263	0.009354	314887694
811	0.012225	0.009692	315734987
812	0.012638	0.009980	316573324
813	0.012650	0.009611	317437314
814	0.012471	0.009545	318202693
815	0.012520	0.009552	319017232
816	0.012428	0.009627	319898765
817	0.012448	0.009845	320802076
818	0.012452	0.009432	321621618
819	0.012301	0.009369	322445154
820	0.012299	0.009561	323332975
821	0.012240	0.009550	324267050
822	0.012347	0.009542	325095031
823	0.012295	0.009447	325915005
824	0.012308	0.009417	326729440
825	0.012356	0.009509	327527078
826	0.012348	0.009494	328317726
827	0.012433	0.009561	329182428
828	0.012388	0.009609	330045923
829	0.012446	0.009643	330925228
830	0.012476	0.009534	331736173
831	0.012501	0.009820	332579362
832	0.012470	0.009638	333476570
833	0.012480	0.009638	334323935
834	0.012563	0.009846	335174691
835	0.012521	0.009704	335973903
836	0.012572	0.009829	336798438
837	0.012560	0.009612	337623290
838	0.012580	0.009609	338429851
839	0.012600	0.009742	339252105
840	0.012613	0.009938	340185605
841	0.012757	0.009871	341031276
842	0.012754	0.009826	341950108
843	0.012771	0.009699	342815842
844	0.012716	0.009704	343691926
845	0.012739	0.009923	344567405
846	0.012773	0.009764	345379203
847	0.012755	0.009685	346210056
848	0.012781	0.009977	347048559
849	0.012855	0.009789	347899922
850	0.012805	0.009792	348721479
851	0.012821	0.009794	349543080
852	0.012830	0.009995	350478443
853	0.012850	0.010002	351311377
854	0.012861	0.010085	352336738
855	0.012890	0.009908	353190412
856	0.012957	0.009857	354041435
857	0.012908	0.009832	354851271
858	0.012927	0.009803	355698730
859	0.012982	0.009873	356486007
860	0.012976	0.009936	357313299
861	0.013036	0.009932	358174453
862	0.013044	0.009883	359014116
863	0.013116	0.009874	359799235
864	0.013087	0.010016	360702827
865	0.013042	0.010048	361547314
866	0.013056	0.010027	362347286
867	0.013243	0.010811	363302328
868	0.013348	0.010144	364190998
869	0.013401	0.010359	365083212
870	0.013419	0.010285	365928076
871	0.013467	0.010319	366776584
872	0.013485	0.010131	367688227
